constructorId,name,nationality,url
bmw_sauber,BMW Sauber,German,https://en.wikipedia.org/wiki/BMW_in_Formula_One
ferrari,Ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari
honda,Honda,Japanese,https://en.wikipedia.org/wiki/Honda_in_Formula_One
mclaren,McLaren,British,https://en.wikipedia.org/wiki/McLaren
mf1,MF1,Russian,https://en.wikipedia.org/wiki/Midland_F1_Racing
red_bull,Red Bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing
renault,Renault,French,https://en.wikipedia.org/wiki/Renault_in_Formula_One
spyker_mf1,Spyker MF1,Dutch,https://en.wikipedia.org/wiki/Midland_F1_Racing
super_aguri,Super Aguri,Japanese,https://en.wikipedia.org/wiki/Super_Aguri_F1
toro_rosso,Toro Rosso,Italian,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
toyota,Toyota,Japanese,https://en.wikipedia.org/wiki/Toyota_Racing
williams,Williams,British,https://en.wikipedia.org/wiki/Williams_Racing
