constructorId,name,nationality,url
bar,BAR,British,https://en.wikipedia.org/wiki/British_American_Racing
ferrari,Ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari
jordan,Jordan,Irish,https://en.wikipedia.org/wiki/Jordan_Grand_Prix
mclaren,McLaren,British,https://en.wikipedia.org/wiki/McLaren
minardi,Minardi,Italian,https://en.wikipedia.org/wiki/Minardi
red_bull,Red Bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing
renault,Renault,French,https://en.wikipedia.org/wiki/Renault_in_Formula_One
sauber,Sauber,Swiss,https://en.wikipedia.org/wiki/Sauber_Motorsport
toyota,Toyota,Japanese,https://en.wikipedia.org/wiki/Toyota_Racing
williams,Williams,British,https://en.wikipedia.org/wiki/Williams_Racing
