constructorId,name,nationality,url
arrows,Arrows,British,https://en.wikipedia.org/wiki/Arrows_Grand_Prix_International
bar,BAR,British,https://en.wikipedia.org/wiki/British_American_Racing
benetton,Benetton,Italian,https://en.wikipedia.org/wiki/Benetton_Formula
ferrari,Ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari
jaguar,Jaguar,British,https://en.wikipedia.org/wiki/Jaguar_Racing
jordan,Jordan,Irish,https://en.wikipedia.org/wiki/Jordan_Grand_Prix
mclaren,McLaren,British,https://en.wikipedia.org/wiki/McLaren
minardi,Minardi,Italian,https://en.wikipedia.org/wiki/Minardi
prost,Prost,French,https://en.wikipedia.org/wiki/Prost_Grand_Prix
sauber,Sauber,Swiss,https://en.wikipedia.org/wiki/Sauber_Motorsport
williams,Williams,British,https://en.wikipedia.org/wiki/Williams_Racing
