constructorId,name,nationality,url
bmw_sauber,BMW Sauber,German,https://en.wikipedia.org/wiki/BMW_in_Formula_One
ferrari,Ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari
force_india,Force India,Indian,https://en.wikipedia.org/wiki/Racing_Point_Force_India
honda,Honda,Japanese,https://en.wikipedia.org/wiki/Honda_in_Formula_One
mclaren,McLaren,British,https://en.wikipedia.org/wiki/McLaren
red_bull,Red Bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing
renault,Renault,French,https://en.wikipedia.org/wiki/Renault_in_Formula_One
super_aguri,Super Aguri,Japanese,https://en.wikipedia.org/wiki/Super_Aguri_F1
toro_rosso,Toro Rosso,Italian,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
toyota,Toyota,Japanese,https://en.wikipedia.org/wiki/Toyota_Racing
williams,Williams,British,https://en.wikipedia.org/wiki/Williams_Racing
