constructorId,name,nationality,url
alfa,Alfa Romeo,Swiss,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
alphatauri,AlphaTauri,Italian,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri
alpine,Alpine F1 Team,French,https://en.wikipedia.org/wiki/Alpine_F1_Team
aston_martin,Aston Martin,British,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
ferrari,Ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari
haas,Haas F1 Team,American,https://en.wikipedia.org/wiki/Haas_F1_Team
mclaren,McLaren,British,https://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing
williams,Williams,British,https://en.wikipedia.org/wiki/Williams_Racing
