constructorId,name,nationality,url
alfa,Alfa Romeo,Swiss,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
alphatauri,AlphaTauri,Italian,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri
ferrari,Ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari
haas,Haas F1 Team,American,https://en.wikipedia.org/wiki/Haas_F1_Team
mclaren,McLaren,British,https://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
racing_point,Racing Point,British,https://en.wikipedia.org/wiki/Racing_Point_F1_Team
red_bull,Red Bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing
renault,Renault,French,https://en.wikipedia.org/wiki/Renault_in_Formula_One
williams,Williams,British,https://en.wikipedia.org/wiki/Williams_Racing
