constructorId,name,nationality,url
ferrari,Ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari
force_india,Force India,Indian,https://en.wikipedia.org/wiki/Racing_Point_Force_India
hrt,HRT,Spanish,https://en.wikipedia.org/wiki/HRT_Formula_1_Team
lotus_racing,Lotus,Malaysian,https://en.wikipedia.org/wiki/Lotus_Racing
mclaren,McLaren,British,https://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing
renault,Renault,French,https://en.wikipedia.org/wiki/Renault_in_Formula_One
sauber,Sauber,Swiss,https://en.wikipedia.org/wiki/Sauber_Motorsport
toro_rosso,Toro Rosso,Italian,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
virgin,Virgin,British,https://en.wikipedia.org/wiki/Virgin_Racing
williams,Williams,British,https://en.wikipedia.org/wiki/Williams_Racing
